year,region,whole,b0_30,b30_100,b100_200
1993,chukchi,1.3713387831705541,5.53766773948837,0.6400836498325162,-1.1951468171852422
1993,beaufort,2.2917991545043583,4.093872592539453,1.5174502604189972,0.050914458584966675
1994,chukchi,0.873486514916329,3.8524900152995962,0.35881476924463934,-1.42800516449622
1994,beaufort,0.3739722435361986,1.9129184441561886,-0.44998698270123655,-0.9563384788291377
1995,chukchi,0.54244917182053,3.6677701799731652,-0.006410014457457682,-1.3647126712434268
1995,beaufort,0.8130104490739805,2.810632083575302,-0.2586813987906021,-0.9060627579579106
1996,chukchi,1.459767791276096,5.1704798389695465,0.8182188068359036,-1.3806757665835305
1996,beaufort,0.09703994337894514,1.5210129388343685,-0.7122652206151886,-0.9656844015075834
1997,chukchi,1.6342052120667978,5.60336641967194,0.9464220771607541,-1.315763608839913
1997,beaufort,0.8018830615916859,2.459025784258911,-0.07435996908592712,-0.6700445900450132
1998,chukchi,0.39233033607795287,3.661354114784472,-0.1857643367826427,-1.37477927256768
1998,beaufort,2.209906296408289,4.649837605061069,1.0272008508712538,-0.34264999067271024
1999,chukchi,0.7240936373527903,3.8283873458935487,0.1833918805068584,-1.4245106074134588
1999,beaufort,0.33706443096306454,2.0301441768956816,-0.619740475096229,-0.9460239534709773
2000,chukchi,0.5865478953053774,3.521850994762861,0.07545971661622472,-1.4552867784653007
2000,beaufort,-0.028957102945675463,1.3135932263005075,-0.7915670302016518,-1.032418358344629
2001,chukchi,0.8384579692999306,4.32455401061319,0.22601270949830252,-1.275880967443225
2001,beaufort,0.012920637378624759,1.4967398477844114,-0.8548651022849044,-1.0067245776474882
2002,chukchi,0.04010655793639194,2.7080310145191504,-0.4316825375078847,-1.4024748941787746
2002,beaufort,0.06483223008337342,1.2008214010287142,-0.5284929262588443,-0.9705439227998225
2003,chukchi,0.5151045917460562,3.9677267675703893,-0.09506044863064109,-1.3738728573387704
2003,beaufort,0.635600569696526,1.6127590501569695,0.17567671892752992,-0.4359114771537969
2004,chukchi,1.7336033706636944,6.611185670222129,0.8748153454812339,-1.117422156346931
2004,beaufort,1.847647204486054,3.710050866114737,0.9108639425239062,0.021284306528704614
2005,chukchi,1.0623853997865418,5.210821981530853,0.3287004020011898,-1.1758395983034367
2005,beaufort,0.8272140720122445,2.5996821169183635,-0.16396371293428486,-0.5536622067492347
2006,chukchi,0.8630472994755514,4.264542615708559,0.27041385261901835,-1.481835817582119
2006,beaufort,0.1260706530725055,1.7499381111633583,-0.794661952703036,-1.0936587894910104
2007,chukchi,2.062837399813716,6.714821905914551,1.2442279541627084,-0.6824033765574197
2007,beaufort,1.566604520941229,3.9812171915243475,0.13962800636037567,-0.039468782259989364
2008,chukchi,0.5632209752350262,3.781891750176097,-0.0008297339142319199,-1.4693778855443695
2008,beaufort,1.3167193380747737,3.3961063139030827,0.2776251017490052,-0.7469244810373724
2009,chukchi,1.2020726393425418,5.857155352653999,0.372429174149583,-0.9476334226411736
2009,beaufort,1.4728241479231674,3.494694750190118,0.3857628773374928,-0.25865264855893505
