zone,forecaster,lead,stratum,n,brier,reliability,resolution,uncertainty,base_rate,bss_clim,bss_pers,sedi_climrate,sedi_p50,auc
ai_central,climatology,1,all,295,0.24425900738872672,0.03647942280740289,0.0001580343776756962,0.20653835104854926,0.29152542372881357,0.0,-0.26089940997708005,-0.0,-0.0,0.4293702014020252
ai_central,damped_persistence,1,all,295,0.18870965421429406,0.04551362940878295,0.06124872895060702,0.20653835104854926,0.29152542372881357,0.2274198760090287,0.02585417749976504,0.5212281274477357,0.5119567200354337,0.8078613552909759
ai_central,persistence,1,all,295,0.19371807572910732,0.04611620454907922,0.05567858653930765,0.20653835104854926,0.29152542372881357,0.2069153240240016,0.0,0.6275176994559368,0.583817724561787,0.815205296539446
ai_central,pnt_persistence,1,all,295,0.19779166470159873,0.054282218123167504,0.05902512021403529,0.20653835104854926,0.29152542372881357,0.19023799033612465,-0.021028440207035093,0.6159356306127184,0.6028630861291493,0.8245243128964058
ai_central,climatology,1,pre2014,144,0.08865745715204565,0.0016012068772111399,0.0008486091162227892,0.08777006172839506,0.09722222222222222,0.0,0.1815854454091541,-0.276747314005684,-0.0,0.40247252747252743
ai_central,damped_persistence,1,pre2014,144,0.08393677738364906,0.01713782429531429,0.019510365023816468,0.08777006172839506,0.09722222222222222,0.05324627978333196,0.22516297576164923,0.5141262834468722,0.40624556981211646,0.7497252747252748
ai_central,persistence,1,pre2014,144,0.10832829970426004,0.04151825479075554,0.01979783950617284,0.08777006172839506,0.09722222222222222,-0.22187465312116172,0.0,0.5005538543508063,0.37046096437346343,0.7802197802197802
ai_central,pnt_persistence,1,pre2014,144,0.11233767846143798,0.04604631602526753,0.01960108024691358,0.08777006172839506,0.09722222222222222,-0.26709790772344455,-0.037011369772475655,0.5790947844209205,0.4608637641540665,0.8087912087912088
ai_central,climatology,1,post2014,151,0.3926472407270186,0.14254992873781241,8.977825740248476e-05,0.24946274286215517,0.4768211920529801,0.0,-0.42703295621206117,-0.0,-0.0,0.475914205344585
ai_central,damped_persistence,1,post2014,151,0.28862551026471045,0.09402743756376078,0.05224862511823611,0.24946274286215517,0.4768211920529801,0.2649241346245128,-0.04897748520692069,0.3904780570809258,0.37257100575249896,0.7433192686357243
ai_central,persistence,1,post2014,151,0.27514938531571664,0.07895569186223267,0.048398963103708274,0.24946274286215517,0.4768211920529801,0.299245335822926,0.0,0.4993155256098568,0.46474952734918645,0.7407700421940928
ai_central,pnt_persistence,1,post2014,151,0.2792842078710236,0.08456285738224206,0.049742454649110486,0.24946274286215517,0.4768211920529801,0.2887147064782476,-0.015027555124509817,0.4661811556782299,0.4661811556782299,0.7440225035161744
ai_central,climatology,2,all,294,0.24454371878565193,0.03653251012276819,2.7800959723881436e-06,0.2069508075338979,0.2925170068027211,0.0,0.020962080824021068,-0.0,-0.0,0.4605601520572451
ai_central,damped_persistence,2,all,294,0.23446637395122094,0.05116191957772444,0.02186519037025617,0.2069508075338979,0.2925170068027211,0.0412087657964505,0.06130702514118824,0.24077692437206166,0.20298620720309765,0.6787231663685152
ai_central,persistence,2,all,294,0.24977961935475962,0.0659524440267303,0.02404292833968393,0.2069508075338979,0.2925170068027211,-0.021410897794095884,0.0,0.4228460584787141,0.3993752400151809,0.6857110912343469
ai_central,pnt_persistence,2,all,294,0.2542302877369475,0.06973687126169617,0.021584481420758084,0.2069508075338979,0.2925170068027211,-0.03961078615879754,-0.01781838083381282,0.4494909536161092,0.4307014589775107,0.6946556350626119
ai_central,climatology,2,pre2014,143,0.08892781993041737,0.0016653041878530754,0.0009868637110960004,0.08831727712846595,0.0979020979020979,0.0,0.3545210303974171,-0.13965843285714524,-0.0,0.4418604651162791
ai_central,damped_persistence,2,pre2014,143,0.09640782579042734,0.007703842099013453,0.0005550393662281772,0.08831727712846595,0.0979020979020979,-0.08411322650057973,0.30022771162587425,0.10391107917290196,-0.536980548988399,0.49224806201550386
ai_central,persistence,2,pre2014,143,0.13777028240775938,0.05245287666489469,0.004473770208035942,0.08831727712846595,0.0979020979020979,-0.5492371511587641,0.0,0.061762142651635085,0.08817340218824006,0.5016611295681064
